#Firmware: MS3 1.4.0 release     20150709 19:51BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,0.0,0.0,395.798,395.798
0.0,0.0,0.0,0.0,152.25,548.048
1.0,0.0,1.0,0.0,113.707,661.755
0.0,0.0,0.0,0.0,25.147,686.902
0.0,1.0,0.0,0.0,95.916,782.818
0.0,1.0,0.0,0.0,103.7,886.518
0.0,1.0,0.0,0.0,85.72,972.23804
1.0,0.0,1.0,0.0,52.29,1024.5281
1.0,0.0,1.0,0.0,29.17,1053.6981
0.0,0.0,0.0,0.0,13.981,1067.6791
0.0,0.0,0.0,1.0,79.584,1147.2631
0.0,0.0,0.0,1.0,95.04,1242.3031
0.0,0.0,0.0,1.0,79.995,1322.2981
1.0,0.0,1.0,1.0,80.044,1402.342
0.0,0.0,0.0,1.0,14.651,1416.993
0.0,0.0,0.0,1.0,78.924,1495.917
0.0,0.0,0.0,1.0,94.619,1590.536
0.0,0.0,0.0,1.0,79.802,1670.338
1.0,0.0,1.0,1.0,49.948,1720.286
1.0,0.0,1.0,1.0,28.647,1748.933
0.0,0.0,0.0,1.0,13.849,1762.782
0.0,0.0,0.0,1.0,78.272,1841.054
0.0,0.0,0.0,1.0,94.483,1935.537
0.0,0.0,0.0,1.0,80.101,2015.638
1.0,0.0,1.0,1.0,80.722,2096.3599
0.0,0.0,0.0,1.0,14.806,2111.1658
0.0,0.0,0.0,1.0,80.356,2191.5217
0.0,0.0,0.0,1.0,96.083,2287.6047
0.0,0.0,0.0,1.0,82.275,2369.8796
1.0,0.0,1.0,1.0,51.524,2421.4036
1.0,0.0,1.0,1.0,28.953,2450.3564
0.0,0.0,0.0,1.0,14.066,2464.4224
0.0,0.0,0.0,1.0,80.74,2545.1624
0.0,0.0,0.0,1.0,96.741,2641.9033
0.0,0.0,0.0,1.0,82.844,2724.7473
1.0,0.0,1.0,1.0,82.965,2807.7124
0.0,0.0,0.0,1.0,15.147,2822.8594
0.0,0.0,0.0,1.0,83.656,2906.5154
0.0,0.0,0.0,1.0,98.604,3005.1194
0.0,0.0,0.0,1.0,85.45,3090.5693
1.0,0.0,1.0,1.0,53.181,3143.7502
1.0,0.0,1.0,1.0,29.278,3173.0283
0.0,0.0,0.0,1.0,14.294,3187.3223
0.0,0.0,0.0,1.0,83.621,3270.9434
0.0,0.0,0.0,1.0,99.265,3370.2083
0.0,0.0,0.0,1.0,86.411,3456.6191
1.0,0.0,1.0,1.0,85.437,3542.0562
0.0,0.0,0.0,1.0,15.78,3557.8362
0.0,0.0,0.0,1.0,87.195,3645.0312
0.0,0.0,0.0,1.0,102.18,3747.2112
0.0,0.0,0.0,1.0,89.626,3836.8372
1.0,0.0,1.0,1.0,55.376,3892.2131
1.0,0.0,1.0,1.0,30.039,3922.2522
0.0,0.0,0.0,1.0,14.836,3937.0881
0.0,0.0,0.0,1.0,120.043,4057.131
0.0,0.0,0.0,1.0,10.354,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
0.0,0.0,0.0,0.0,0.0,4067.485
